area,row,col,x,y
3,1,30,695.0,1009.0
3,1,29,714.3,1009.0
3,1,28,733.6,1009.0
3,1,27,752.9,1009.0
3,1,26,772.2,1009.0
3,1,25,791.6,1009.0
3,1,24,810.9,1009.0
3,1,23,830.2,1009.0
3,1,22,849.5,1009.0
3,1,21,868.8,1009.0
3,1,20,888.1,1009.0
3,1,19,907.4,1009.0
3,1,18,926.7,1009.0
3,1,17,946.0,1009.0
3,1,16,965.3,1009.0
3,1,15,984.7,1009.0
3,1,14,1004.0,1009.0
3,1,13,1023.3,1009.0
3,1,12,1042.6,1009.0
3,1,11,1061.9,1009.0
3,1,10,1081.2,1009.0
3,1,9,1100.5,1009.0
3,1,8,1119.8,1009.0
3,1,7,1139.1,1009.0
3,1,6,1158.4,1009.0
3,1,5,1177.8,1009.0
3,1,4,1197.1,1009.0
3,1,3,1216.4,1009.0
3,1,2,1235.7,1009.0
3,1,1,1255.0,1009.0
3,2,30,695.0,961.0
3,2,29,714.3,961.0
3,2,28,733.6,961.0
3,2,27,752.9,961.0
3,2,26,772.2,961.0
3,2,25,791.6,961.0
3,2,24,810.9,961.0
3,2,23,830.2,961.0
3,2,22,849.5,961.0
3,2,21,868.8,961.0
3,2,20,888.1,961.0
3,2,19,907.4,961.0
3,2,18,926.7,961.0
3,2,17,946.0,961.0
3,2,16,965.3,961.0
3,2,15,984.7,961.0
3,2,14,1004.0,961.0
3,2,13,1023.3,961.0
3,2,12,1042.6,961.0
3,2,11,1061.9,961.0
3,2,10,1081.2,961.0
3,2,9,1100.5,961.0
3,2,8,1119.8,961.0
3,2,7,1139.1,961.0
3,2,6,1158.4,961.0
3,2,5,1177.8,961.0
3,2,4,1197.1,961.0
3,2,3,1216.4,961.0
3,2,2,1235.7,961.0
3,2,1,1255.0,961.0
3,3,30,695.0,938.5
3,3,29,714.3,938.5
3,3,28,733.6,938.5
3,3,27,752.9,938.5
3,3,26,772.2,938.5
3,3,25,791.6,938.5
3,3,24,810.9,938.5
3,3,23,830.2,938.5
3,3,22,849.5,938.5
3,3,21,868.8,938.5
3,3,20,888.1,938.5
3,3,19,907.4,938.5
3,3,18,926.7,938.5
3,3,17,946.0,938.5
3,3,16,965.3,938.5
3,3,15,984.7,938.5
3,3,14,1004.0,938.5
3,3,13,1023.3,938.5
3,3,12,1042.6,938.5
3,3,11,1061.9,938.5
3,3,10,1081.2,938.5
3,3,9,1100.5,938.5
3,3,8,1119.8,938.5
3,3,7,1139.1,938.5
3,3,6,1158.4,938.5
3,3,5,1177.8,938.5
3,3,4,1197.1,938.5
3,3,3,1216.4,938.5
3,3,2,1235.7,938.5
3,3,1,1255.0,938.5
3,4,30,695.0,916.0
3,4,29,714.3,916.0
3,4,28,733.6,916.0
3,4,27,752.9,916.0
3,4,26,772.2,916.0
3,4,25,791.6,916.0
3,4,24,810.9,916.0
3,4,23,830.2,916.0
3,4,22,849.5,916.0
3,4,21,868.8,916.0
3,4,20,888.1,916.0
3,4,19,907.4,916.0
3,4,18,926.7,916.0
3,4,17,946.0,916.0
3,4,16,965.3,916.0
3,4,15,984.7,916.0
3,4,14,1004.0,916.0
3,4,13,1023.3,916.0
3,4,12,1042.6,916.0
3,4,11,1061.9,916.0
3,4,10,1081.2,916.0
3,4,9,1100.5,916.0
3,4,8,1119.8,916.0
3,4,7,1139.1,916.0
3,4,6,1158.4,916.0
3,4,5,1177.8,916.0
3,4,4,1197.1,916.0
3,4,3,1216.4,916.0
3,4,2,1235.7,916.0
3,4,1,1255.0,916.0
3,5,30,695.0,870.0
3,5,29,714.3,870.0
3,5,28,733.6,870.0
3,5,27,752.9,870.0
3,5,26,772.2,870.0
3,5,25,791.6,870.0
3,5,24,810.9,870.0
3,5,23,830.2,870.0
3,5,22,849.5,870.0
3,5,21,868.8,870.0
3,5,20,888.1,870.0
3,5,19,907.4,870.0
3,5,18,926.7,870.0
3,5,17,946.0,870.0
3,5,16,965.3,870.0
3,5,15,984.7,870.0
3,5,14,1004.0,870.0
3,5,13,1023.3,870.0
3,5,12,1042.6,870.0
3,5,11,1061.9,870.0
3,5,10,1081.2,870.0
3,5,9,1100.5,870.0
3,5,8,1119.8,870.0
3,5,7,1139.1,870.0
3,5,6,1158.4,870.0
3,5,5,1177.8,870.0
3,5,4,1197.1,870.0
3,5,3,1216.4,870.0
3,5,2,1235.7,870.0
3,5,1,1255.0,870.0
3,6,30,695.0,847.0
3,6,29,714.3,847.0
3,6,28,733.6,847.0
3,6,27,752.9,847.0
3,6,26,772.2,847.0
3,6,25,791.6,847.0
3,6,24,810.9,847.0
3,6,23,830.2,847.0
3,6,22,849.5,847.0
3,6,21,868.8,847.0
3,6,20,888.1,847.0
3,6,19,907.4,847.0
3,6,18,926.7,847.0
3,6,17,946.0,847.0
3,6,16,965.3,847.0
3,6,15,984.7,847.0
3,6,14,1004.0,847.0
3,6,13,1023.3,847.0
3,6,12,1042.6,847.0
3,6,11,1061.9,847.0
3,6,10,1081.2,847.0
3,6,9,1100.5,847.0
3,6,8,1119.8,847.0
3,6,7,1139.1,847.0
3,6,6,1158.4,847.0
3,6,5,1177.8,847.0
3,6,4,1197.1,847.0
3,6,3,1216.4,847.0
3,6,2,1235.7,847.0
3,6,1,1255.0,847.0
3,7,30,695.0,824.0
3,7,29,714.3,824.0
3,7,28,733.6,824.0
3,7,27,752.9,824.0
3,7,26,772.2,824.0
3,7,25,791.6,824.0
3,7,24,810.9,824.0
3,7,23,830.2,824.0
3,7,22,849.5,824.0
3,7,21,868.8,824.0
3,7,20,888.1,824.0
3,7,19,907.4,824.0
3,7,18,926.7,824.0
3,7,17,946.0,824.0
3,7,16,965.3,824.0
3,7,15,984.7,824.0
3,7,14,1004.0,824.0
3,7,13,1023.3,824.0
3,7,12,1042.6,824.0
3,7,11,1061.9,824.0
3,7,10,1081.2,824.0
3,7,9,1100.5,824.0
3,7,8,1119.8,824.0
3,7,7,1139.1,824.0
3,7,6,1158.4,824.0
3,7,5,1177.8,824.0
3,7,4,1197.1,824.0
