area,row,col,x,y
20,1,30,719.0,945.0
20,1,29,734.4,945.0
20,1,28,749.9,945.0
20,1,27,765.3,945.0
20,1,26,780.8,945.0
20,1,25,796.2,945.0
20,1,24,811.7,945.0
20,1,23,827.1,945.0
20,1,22,842.6,945.0
20,1,21,858.0,945.0
20,1,20,873.5,945.0
20,1,19,888.9,945.0
20,1,18,904.4,945.0
20,1,17,919.8,945.0
20,1,16,935.3,945.0
20,1,15,950.7,945.0
20,1,14,966.2,945.0
20,1,13,981.6,945.0
20,1,12,997.1,945.0
20,1,11,1012.5,945.0
20,1,10,1028.0,945.0
20,1,9,1043.4,945.0
20,1,8,1058.9,945.0
20,1,7,1074.3,945.0
20,1,6,1089.8,945.0
20,1,5,1105.2,945.0
20,1,4,1120.7,945.0
20,1,3,1136.1,945.0
20,1,2,1151.6,945.0
20,1,1,1167.0,945.0
20,2,30,719.0,905.0
20,2,29,734.4,905.0
20,2,28,749.9,905.0
20,2,27,765.3,905.0
20,2,26,780.8,905.0
20,2,25,796.2,905.0
20,2,24,811.7,905.0
20,2,23,827.1,905.0
20,2,22,842.6,905.0
20,2,21,858.0,905.0
20,2,20,873.5,905.0
20,2,19,888.9,905.0
20,2,18,904.4,905.0
20,2,17,919.8,905.0
20,2,16,935.3,905.0
20,2,15,950.7,905.0
20,2,14,966.2,905.0
20,2,13,981.6,905.0
20,2,12,997.1,905.0
20,2,11,1012.5,905.0
20,2,10,1028.0,905.0
20,2,9,1043.4,905.0
20,2,8,1058.9,905.0
20,2,7,1074.3,905.0
20,2,6,1089.8,905.0
20,2,5,1105.2,905.0
20,2,4,1120.7,905.0
20,2,3,1136.1,905.0
20,2,2,1151.6,905.0
20,2,1,1167.0,905.0
20,3,30,719.0,886.0
20,3,29,734.4,886.0
20,3,28,749.9,886.0
20,3,27,765.3,886.0
20,3,26,780.8,886.0
20,3,25,796.2,886.0
20,3,24,811.7,886.0
20,3,23,827.1,886.0
20,3,22,842.6,886.0
20,3,21,858.0,886.0
20,3,20,873.5,886.0
20,3,19,888.9,886.0
20,3,18,904.4,886.0
20,3,17,919.8,886.0
20,3,16,935.3,886.0
20,3,15,950.7,886.0
20,3,14,966.2,886.0
20,3,13,981.6,886.0
20,3,12,997.1,886.0
20,3,11,1012.5,886.0
20,3,10,1028.0,886.0
20,3,9,1043.4,886.0
20,3,8,1058.9,886.0
20,3,7,1074.3,886.0
20,3,6,1089.8,886.0
20,3,5,1105.2,886.0
20,3,4,1120.7,886.0
20,3,3,1136.1,886.0
20,3,2,1151.6,886.0
20,3,1,1167.0,886.0
20,4,30,719.0,867.0
20,4,29,734.4,867.0
20,4,28,749.9,867.0
20,4,27,765.3,867.0
20,4,26,780.8,867.0
20,4,25,796.2,867.0
20,4,24,811.7,867.0
20,4,23,827.1,867.0
20,4,22,842.6,867.0
20,4,21,858.0,867.0
20,4,20,873.5,867.0
20,4,19,888.9,867.0
20,4,18,904.4,867.0
20,4,17,919.8,867.0
20,4,16,935.3,867.0
20,4,15,950.7,867.0
20,4,14,966.2,867.0
20,4,13,981.6,867.0
20,4,12,997.1,867.0
20,4,11,1012.5,867.0
20,4,10,1028.0,867.0
20,4,9,1043.4,867.0
20,4,8,1058.9,867.0
20,4,7,1074.3,867.0
20,4,6,1089.8,867.0
20,4,5,1105.2,867.0
20,4,4,1120.7,867.0
20,4,3,1136.1,867.0
20,4,2,1151.6,867.0
20,4,1,1167.0,867.0
20,5,30,719.0,832.0
20,5,29,734.4,832.0
20,5,28,749.9,832.0
20,5,27,765.3,832.0
20,5,26,780.8,832.0
20,5,25,796.2,832.0
20,5,24,811.7,832.0
20,5,23,827.1,832.0
20,5,22,842.6,832.0
20,5,21,858.0,832.0
20,5,20,873.5,832.0
20,5,19,888.9,832.0
20,5,18,904.4,832.0
20,5,17,919.8,832.0
20,5,16,935.3,832.0
20,5,15,950.7,832.0
20,5,14,966.2,832.0
20,5,13,981.6,832.0
20,5,12,997.1,832.0
20,5,11,1012.5,832.0
20,5,10,1028.0,832.0
20,5,9,1043.4,832.0
20,5,8,1058.9,832.0
20,5,7,1074.3,832.0
20,5,6,1089.8,832.0
20,5,5,1105.2,832.0
20,5,4,1120.7,832.0
20,5,3,1136.1,832.0
20,5,2,1151.6,832.0
20,5,1,1167.0,832.0
20,6,30,719.0,813.0
20,6,29,734.4,813.0
20,6,28,749.9,813.0
20,6,27,765.3,813.0
20,6,26,780.8,813.0
20,6,25,796.2,813.0
20,6,24,811.7,813.0
20,6,23,827.1,813.0
20,6,22,842.6,813.0
20,6,21,858.0,813.0
20,6,20,873.5,813.0
20,6,19,888.9,813.0
20,6,18,904.4,813.0
20,6,17,919.8,813.0
20,6,16,935.3,813.0
20,6,15,950.7,813.0
20,6,14,966.2,813.0
20,6,13,981.6,813.0
20,6,12,997.1,813.0
20,6,11,1012.5,813.0
20,6,10,1028.0,813.0
20,6,9,1043.4,813.0
20,6,8,1058.9,813.0
20,6,7,1074.3,813.0
20,6,6,1089.8,813.0
20,6,5,1105.2,813.0
20,6,4,1120.7,813.0
20,6,3,1136.1,813.0
20,6,2,1151.6,813.0
20,6,1,1167.0,813.0
20,7,30,719.0,794.0
20,7,29,734.4,794.0
20,7,28,749.9,794.0
20,7,27,765.3,794.0
20,7,26,780.8,794.0
20,7,25,796.2,794.0
20,7,24,811.7,794.0
20,7,23,827.1,794.0
20,7,22,842.6,794.0
20,7,21,858.0,794.0
20,7,20,873.5,794.0
20,7,19,888.9,794.0
20,7,18,904.4,794.0
20,7,17,919.8,794.0
20,7,16,935.3,794.0
